theatre_name,city,state,lat,lon,confidence,query_used
Leongatha Stadium 4,Latrobe - Gippsland,Victoria (inc TAS),,,,
Craigieburn United 8,North East Melbourne,Victoria (inc TAS),,,,
Horsham Centre Cinema 3,North West Victoria,Victoria (inc TAS),,,,
Mildura Deakin Cinema 4,North West Victoria,Victoria (inc TAS),,,,
Swan Hill Showbiz 3,North West Victoria,Victoria (inc TAS),-35.3412862,143.5582931,4.8448157473060465e-05,"Swan Hill Showbiz, Australia"
Boronia Metro 4,Outer East Melbourne,Victoria (inc TAS),,,,
Echuca Paramount Cinema 4,Shepparton,Victoria (inc TAS),-36.1299739,144.7490245,4.7868314640986e-05,"Echuca Paramount Cinema, Australia"
Century City 10,South East Melbourne,Victoria (inc TAS),-37.8812183,145.1646861,8.045242999919154e-05,"Century City, Australia"
Warrnambool Capitol Cinema 3,Warrnambool and South West,Victoria (inc TAS),,,,
Hoyts Bunbury 6,Mandurah - Bunbury,Western Australia,,,,
Hoyts Currambine  9,Perth - North West,Western Australia,,,,
Hoyts Joondalup,Perth - North West,Western Australia,,,,
Hoyts Warwick 9,Perth - North West,Western Australia,,,,
Armadale Reading 6,Perth - South East,Western Australia,,,,
Hoyts Ace Midland Gate 10,Perth - South East,Western Australia,,,,
Rockingham United 6,Perth - South West,Western Australia,,,,
Geraldton Orana 4,W.A - Outback South,Western Australia,,,,
Kalgoorlie Orana Cinemas 3,W.A - Outback South,Western Australia,,,,
